fileName;percProm
G01_T_04_C_2_Adj_gʁy_;2
G01_T_10_F_2_Adj_liː_;1
G01_T_14_F_2_Adj_liː_;2
G01_T_16_R_2_Adj_gʁy_;3
G01_T_22_R_6_Adj_liː_;2
G01_T_23_I_6_N_miː_;1
G01_T_25_C_7_Adj_li-_;2
G01_T_26_R_2_Adj_liː_;3
G01_T_33_B_3_Adj_li-_;2
G01_T_34_B_7_Adj_ʁɒʃ_;2
G02_T_12_R_2_Adj_gʁyː_;2
G02_T_16_R_2_Adj_gʁyː_;1
G02_T_20_F_2_Adj_gʁy-_;1
G05_T_25_C_6__ʁʊk_;1
G07_T_03_I_5__ʃtɪft_;0
G07_T_06_F_2__li_;2
G07_T_11_C_2__gʁy_;3
G07_T_20_F_2__gʁy_;2
G07_T_32_B_2__gɛl_;2
G09_T_07_I_3__li_;2
G10_T_13_I_2__lɪ_;1
G10_T_29_B_2__gry_;1
G13_T_02_I_6_N_ga_;2
G13_T_05_R_4_N_keɐ_;1
G13_T_13_I_5_N_smart_;2
G13_T_15_C_5_N_lœf_;1
G14_T_16_R_2__gry_;3
G14_T_20_F_2__gry_;2
G14_T_22_R_2__an_;NA
G14_T_23_I_2__lɪ_;2
G14_T_25_C_5__ruk_;1
G14_T_28_F_2__gɛl_;2
G14_T_29_B_5__flan_;2
G16_T_11_C_2__gry_;1
G16_T_13_I_2__li-_;2
G16_T_14_F_2__lɪ_;3
G16_T_23_I_2__li-_;3
G16_T_25_C_2__lɪ_;2
G16_T_32_B_5__gɛlb_;2
G17_T_35_B_4_N_pfan_;2